User ID,Email Address,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
13,hochoa@example.net,1981-11-18,Female,Michaeltown,2024-01-10,2025-01-09,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Medium,4.7,0
14,egriffin@example.com,1989-08-17,Female,Harrisport,2024-01-07,2025-01-06,Annual,Amex,Auto-renew,Frequent,Books,Horror,Medium,3.8,0
15,meyerstacy@example.net,2003-04-07,Male,East Janetfurt,2024-02-23,2025-02-22,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Medium,4.9,10
16,jasonbowers@example.org,1993-03-19,Female,Port Jeremyfurt,2024-01-03,2025-01-02,Annual,Amex,Manual,Occasional,Books,Horror,Low,5.0,0
17,cday@example.com,1952-05-02,Female,Quinnberg,2024-03-25,2025-03-25,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Low,3.3,3
18,phumphrey@example.net,1978-11-16,Female,New Brandon,2024-01-23,2025-01-22,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,High,3.9,6
19,paige55@example.org,1945-08-30,Female,South Michaelhaven,2024-01-27,2025-01-26,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Low,4.4,6
20,christopher25@example.org,1979-09-29,Female,Port Derekton,2024-03-15,2025-03-15,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Medium,4.6,2
21,jacobrobinson@example.com,1956-07-05,Male,New Matthewbury,2024-03-15,2025-03-15,Monthly,Visa,Manual,Regular,Electronics,Action,Low,4.2,6
22,karen47@example.org,1967-02-17,Male,Lake Gloriaport,2024-01-15,2025-01-14,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Low,3.9,2
23,ronald82@example.net,1996-02-13,Female,North Audrey,2024-04-14,2025-04-14,Monthly,Visa,Auto-renew,Regular,Books,Comedy,High,4.3,7
24,castillokatie@example.com,1968-06-19,Male,West Raymond,2024-03-26,2025-03-26,Annual,Mastercard,Manual,Regular,Electronics,Drama,High,4.8,0
25,lgreer@example.org,1994-10-02,Female,North Jacob,2024-01-18,2025-01-17,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,High,4.6,4
26,glen97@example.net,1986-09-22,Female,Shafferland,2024-02-12,2025-02-11,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,High,3.8,7
27,nyates@example.com,2005-03-29,Male,West Richardbury,2024-02-19,2025-02-18,Monthly,Visa,Manual,Occasional,Electronics,Horror,High,3.6,0
28,carol56@example.com,1976-11-05,Male,New John,2024-01-26,2025-01-25,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Medium,3.0,9
29,rodneyroberts@example.com,1967-07-05,Female,North Marymouth,2024-01-07,2025-01-06,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,High,4.8,7
30,julie52@example.com,1976-09-16,Female,West James,2024-01-31,2025-01-30,Monthly,Amex,Manual,Regular,Books,Action,Medium,4.8,9
31,urobinson@example.net,1955-09-19,Male,Randallton,2024-02-25,2025-02-24,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Low,4.6,10
32,zfrost@example.net,1967-10-14,Female,Port Kimberly,2024-01-03,2025-01-02,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Low,4.2,9
33,louis25@example.com,1995-03-28,Male,Lisaton,2024-01-22,2025-01-21,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Low,4.3,4
34,ujones@example.com,2002-07-23,Female,New Jenniferport,2024-03-30,2025-03-30,Annual,Mastercard,Auto-renew,Regular,Electronics,Horror,Low,4.5,10
35,jesseforbes@example.org,1933-05-11,Male,New Jason,2024-04-05,2025-04-05,Annual,Mastercard,Manual,Occasional,Electronics,Action,Low,3.8,6
36,scottjohn@example.com,1991-07-03,Female,Clineshire,2024-01-17,2025-01-16,Monthly,Mastercard,Manual,Occasional,Books,Comedy,High,4.8,10
37,silvamichael@example.org,1944-10-26,Female,Jacquelinefurt,2024-02-16,2025-02-15,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Medium,4.1,6
38,maxwellanthony@example.net,1975-07-23,Female,North Jerry,2024-01-23,2025-01-22,Annual,Amex,Manual,Frequent,Clothing,Romance,Medium,4.5,7
39,maryjones@example.com,1955-07-06,Female,Port Benjaminfort,2024-03-25,2025-03-25,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,High,3.2,8
40,reyesjennifer@example.com,1981-03-19,Female,Port Danielle,2024-02-04,2025-02-03,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Low,4.2,5
41,william81@example.com,1975-03-07,Male,Port Jillianbury,2024-03-18,2025-03-18,Monthly,Visa,Auto-renew,Frequent,Clothing,Comedy,Medium,4.6,8
42,laura84@example.org,1962-06-14,Female,Sherrybury,2024-03-21,2025-03-21,Monthly,Amex,Auto-renew,Occasional,Electronics,Comedy,High,4.4,2
43,michelle48@example.net,2001-01-09,Female,Port Charleschester,2024-03-19,2025-03-19,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Medium,3.6,9
44,ashley86@example.com,1945-08-27,Male,New Brandy,2024-03-14,2025-03-14,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Medium,4.8,6
45,traci17@example.net,1943-08-20,Male,East Aaronburgh,2024-03-14,2025-03-14,Monthly,Amex,Manual,Frequent,Books,Horror,Low,5.0,6
46,benjamin76@example.org,1993-10-31,Male,Jamesview,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Medium,3.9,5
47,debra51@example.org,1953-04-13,Female,Davisfort,2024-02-21,2025-02-20,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Low,3.6,7
48,bradleypatrick@example.org,1985-03-15,Male,West Tanya,2024-03-09,2025-03-09,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Low,4.3,2
49,luis09@example.net,1950-07-27,Female,South Kylestad,2024-03-09,2025-03-09,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Low,3.1,8
50,jrandall@example.org,1965-07-23,Female,East Marcusberg,2024-03-24,2025-03-24,Annual,Visa,Manual,Occasional,Books,Sci-Fi,High,4.5,9
51,dhuffman@example.net,1990-12-21,Male,New Nicoleport,2024-01-28,2025-01-27,Monthly,Visa,Manual,Occasional,Electronics,Drama,High,3.9,8
52,richardsmicheal@example.com,1976-11-05,Male,North Stephen,2024-02-02,2025-02-01,Annual,Amex,Manual,Frequent,Clothing,Horror,High,3.9,0
53,kellygibson@example.org,1942-03-21,Male,Lake Wendyland,2024-04-14,2025-04-14,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Low,4.9,8
54,allison13@example.org,1964-10-26,Male,Michaelfort,2024-01-28,2025-01-27,Annual,Amex,Manual,Occasional,Electronics,Comedy,High,3.6,5
55,fbradley@example.org,1964-02-19,Female,Lake Samantha,2024-03-13,2025-03-13,Annual,Visa,Auto-renew,Frequent,Clothing,Action,Low,4.9,3
56,lorettashelton@example.net,1973-11-09,Female,East Charles,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Regular,Electronics,Sci-Fi,High,3.6,6
57,reginald05@example.org,1953-03-27,Female,Bowmanland,2024-01-02,2025-01-01,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Medium,3.0,2
58,michael86@example.com,1961-05-19,Male,New Thomasville,2024-04-01,2025-04-01,Monthly,Amex,Auto-renew,Occasional,Books,Drama,Low,4.5,10
59,hduffy@example.org,2003-03-09,Female,Port Olivia,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,High,3.5,10
60,hamiltonkeith@example.org,1968-09-05,Female,Port Lauramouth,2024-04-11,2025-04-11,Annual,Mastercard,Auto-renew,Occasional,Books,Action,Low,3.7,9
61,wendy13@example.com,1953-09-24,Female,Smithborough,2024-02-15,2025-02-14,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Medium,3.9,4
62,jessicaespinoza@example.com,1991-10-15,Female,Phillipsfurt,2024-03-06,2025-03-06,Annual,Visa,Manual,Occasional,Clothing,Romance,High,4.6,10
63,douglas02@example.net,1981-08-17,Female,Harrisshire,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Medium,3.8,3
64,bcollins@example.org,1974-06-10,Male,South Williammouth,2024-03-09,2025-03-09,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Low,3.6,4
65,aguilarjohn@example.net,1948-06-30,Female,New Jonathan,2024-01-17,2025-01-16,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Low,4.5,6
66,desiree88@example.com,1973-07-13,Female,Jennaburgh,2024-03-29,2025-03-29,Monthly,Amex,Manual,Regular,Electronics,Romance,High,3.6,10
67,arodriguez@example.net,2004-04-07,Female,Jonathanburgh,2024-02-01,2025-01-31,Annual,Visa,Auto-renew,Frequent,Books,Comedy,High,3.0,9
68,larry78@example.org,1946-02-17,Female,Jessicaborough,2024-03-19,2025-03-19,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Low,3.4,0
69,timothy25@example.net,1947-08-03,Female,Kristenton,2024-04-09,2025-04-09,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,High,4.7,9
70,obray@example.net,1937-01-29,Male,Garzafort,2024-01-21,2025-01-20,Monthly,Amex,Manual,Regular,Clothing,Action,Low,3.2,2
71,bethany83@example.net,1988-12-02,Male,South Leslie,2024-02-27,2025-02-26,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Low,4.1,5
72,aanderson@example.org,2004-10-07,Male,Williamport,2024-03-03,2025-03-03,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,High,3.1,7
73,diane28@example.com,1981-04-21,Male,South Beverlyton,2024-01-30,2025-01-29,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Medium,3.5,4
74,cheyennewilson@example.net,1967-08-12,Male,Lake Rebecca,2024-04-08,2025-04-08,Annual,Amex,Manual,Frequent,Electronics,Drama,Low,4.8,9
75,walkersusan@example.net,1938-02-23,Female,Tinaberg,2024-02-03,2025-02-02,Annual,Visa,Manual,Frequent,Books,Horror,Medium,3.3,0
76,jamesstevens@example.com,1992-06-29,Female,Wongview,2024-02-07,2025-02-06,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Low,4.4,5
77,shannon08@example.org,1967-05-15,Female,Ramseymouth,2024-02-18,2025-02-17,Monthly,Mastercard,Manual,Regular,Books,Documentary,Medium,4.9,10
78,lucas69@example.com,1993-12-10,Female,Port Jasonville,2024-03-10,2025-03-10,Monthly,Visa,Manual,Regular,Clothing,Drama,Low,3.8,10
79,john77@example.org,1942-08-03,Male,Port Nicholas,2024-03-18,2025-03-18,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Low,4.1,10
80,bakerzachary@example.net,1994-12-11,Female,Michaelberg,2024-01-29,2025-01-28,Annual,Visa,Manual,Regular,Electronics,Comedy,Low,3.4,6
81,greenelisa@example.com,1933-10-12,Male,Martinezfort,2024-01-07,2025-01-06,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Low,3.3,3
82,rrhodes@example.com,1940-05-03,Male,West Connorport,2024-03-20,2025-03-20,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,High,3.6,9
83,brendasmith@example.com,1938-12-01,Female,Carsonhaven,2024-02-29,2025-02-28,Annual,Visa,Auto-renew,Regular,Electronics,Romance,High,3.1,5
84,wgregory@example.com,1992-05-05,Female,Troytown,2024-01-15,2025-01-14,Monthly,Amex,Auto-renew,Occasional,Books,Action,High,3.2,4
85,ujones@example.com,1972-07-11,Female,Langton,2024-02-03,2025-02-02,Annual,Amex,Manual,Occasional,Clothing,Horror,Medium,3.0,1
86,lisa59@example.net,1948-06-13,Female,Charlesfurt,2024-02-23,2025-02-22,Annual,Visa,Manual,Frequent,Books,Action,Low,3.9,3
87,shannon33@example.com,1974-03-16,Female,Lake Stephanieside,2024-01-28,2025-01-27,Annual,Mastercard,Auto-renew,Frequent,Books,Horror,Low,4.8,4
88,richardsjimmy@example.com,1990-04-27,Male,Melissamouth,2024-02-10,2025-02-09,Monthly,Amex,Manual,Regular,Books,Romance,Low,4.4,2
89,ashleytate@example.net,1984-03-24,Male,Amyborough,2024-02-27,2025-02-26,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Low,4.0,2
90,harriscameron@example.org,1951-11-13,Female,North Michelleburgh,2024-02-11,2025-02-10,Monthly,Mastercard,Manual,Regular,Electronics,Action,Medium,4.7,3
91,marybeltran@example.org,1937-08-15,Male,Harryland,2024-01-13,2025-01-12,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,High,3.4,9
92,xpierce@example.org,1991-06-20,Male,Lindseyland,2024-02-22,2025-02-21,Monthly,Amex,Manual,Frequent,Books,Comedy,Medium,4.2,2
93,sara71@example.net,1945-02-21,Male,Kevinchester,2024-02-13,2025-02-12,Annual,Mastercard,Manual,Occasional,Books,Drama,Medium,3.9,3
94,umiller@example.org,1981-03-04,Female,North Melissaville,2024-02-08,2025-02-07,Annual,Mastercard,Manual,Frequent,Clothing,Drama,High,3.9,4
95,coffeyparker@example.org,1958-12-15,Female,Justinchester,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Frequent,Clothing,Drama,High,4.6,6
96,andersonemily@example.net,1963-11-06,Female,Lake Barryland,2024-03-01,2025-03-01,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Medium,3.2,9
97,heather10@example.org,1958-05-05,Female,New Teresaburgh,2024-03-25,2025-03-25,Monthly,Amex,Manual,Regular,Electronics,Romance,High,3.7,3
98,fsanchez@example.net,1979-08-27,Male,South Katieburgh,2024-01-27,2025-01-26,Annual,Visa,Manual,Regular,Books,Documentary,High,4.7,4
99,nichole85@example.net,1967-12-20,Male,East Shannonhaven,2024-02-29,2025-02-28,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Medium,4.7,7
100,zunigashelly@example.org,1950-01-15,Female,West Nathanielton,2024-02-14,2025-02-13,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Low,4.5,5
101,perkinsmary@example.org,1956-09-20,Male,North Kristenbury,2024-01-19,2025-01-18,Monthly,Amex,Auto-renew,Frequent,Clothing,Comedy,Low,4.7,1
102,trevorwelch@example.net,2003-03-12,Female,Dicksonmouth,2024-04-12,2025-04-12,Annual,Amex,Manual,Regular,Books,Sci-Fi,Low,3.5,3
103,aguirrejoshua@example.com,1990-11-27,Male,Bennettmouth,2024-04-08,2025-04-08,Annual,Amex,Manual,Occasional,Electronics,Horror,Low,3.0,2
104,roachmegan@example.org,1998-03-27,Male,New Markview,2024-04-04,2025-04-04,Annual,Amex,Manual,Occasional,Clothing,Action,High,3.1,8
105,ashley27@example.com,1958-05-09,Male,West Robinborough,2024-01-07,2025-01-06,Monthly,Amex,Manual,Frequent,Books,Drama,Low,3.3,0
106,rlove@example.org,1973-10-14,Male,West Robert,2024-02-13,2025-02-12,Annual,Mastercard,Auto-renew,Occasional,Electronics,Comedy,High,3.4,10
107,mbarker@example.net,1949-02-23,Female,South Amy,2024-02-14,2025-02-13,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Low,3.3,7
108,tyler29@example.com,1944-07-10,Female,East Mark,2024-04-11,2025-04-11,Monthly,Amex,Manual,Regular,Clothing,Action,Medium,3.2,7
109,uwolfe@example.org,1974-02-15,Male,Leeshire,2024-01-24,2025-01-23,Annual,Visa,Auto-renew,Occasional,Clothing,Horror,Medium,3.2,2
110,akemp@example.org,1982-01-12,Male,West Joan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Medium,4.9,0
111,foxshelia@example.org,1953-10-24,Male,Johnton,2024-02-27,2025-02-26,Annual,Amex,Manual,Regular,Electronics,Drama,High,3.4,7
112,susan84@example.com,1982-05-29,Female,Clarkville,2024-02-17,2025-02-16,Annual,Visa,Manual,Frequent,Clothing,Horror,Medium,4.1,2
113,nataliereynolds@example.org,1989-01-13,Male,Collinsmouth,2024-01-22,2025-01-21,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Medium,4.9,3
114,angela32@example.com,1967-12-01,Male,South Sharonhaven,2024-02-06,2025-02-05,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,High,3.4,9
115,henryjennifer@example.org,1981-08-03,Female,New Robert,2024-04-12,2025-04-12,Monthly,Visa,Manual,Occasional,Clothing,Horror,Medium,4.4,4
116,griffinbarbara@example.com,1980-07-20,Female,Wellsstad,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Regular,Clothing,Action,Low,3.8,3
117,martindakota@example.com,1979-02-15,Female,Sullivantown,2024-03-29,2025-03-29,Annual,Mastercard,Auto-renew,Frequent,Clothing,Action,Low,4.5,6
118,gregorymills@example.org,1945-02-08,Female,Hortonview,2024-01-31,2025-01-30,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,High,3.6,0
119,tiffany46@example.org,1937-10-13,Female,Johnsonmouth,2024-01-14,2025-01-13,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Medium,4.5,7
120,tstephens@example.com,1990-09-22,Female,North Margaret,2024-01-07,2025-01-06,Annual,Amex,Auto-renew,Frequent,Electronics,Action,High,4.1,3
121,dbailey@example.net,1991-11-03,Male,East Charlotte,2024-03-02,2025-03-02,Annual,Visa,Manual,Frequent,Books,Drama,High,4.2,2
122,stephenwilliams@example.net,1968-06-19,Male,Alisonfort,2024-03-15,2025-03-15,Monthly,Visa,Manual,Occasional,Electronics,Romance,Low,3.3,7
123,zstewart@example.net,1936-03-11,Female,Brandifurt,2024-01-12,2025-01-11,Annual,Amex,Auto-renew,Regular,Books,Drama,High,3.2,2
124,kelleybenjamin@example.org,1947-05-19,Male,Garciaview,2024-01-02,2025-01-01,Annual,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Low,4.7,8
125,christopherjones@example.org,1990-06-24,Male,Byrdside,2024-01-25,2025-01-24,Annual,Visa,Manual,Frequent,Electronics,Drama,Medium,4.6,2
126,tiffany69@example.net,1985-05-09,Male,New Cherylhaven,2024-04-05,2025-04-05,Annual,Visa,Manual,Regular,Electronics,Horror,Low,4.9,7
127,stanleynathan@example.org,2005-07-10,Female,East Christophertown,2024-03-26,2025-03-26,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Low,3.2,10
128,apope@example.com,1985-06-19,Male,Lake Jacobport,2024-04-09,2025-04-09,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Medium,4.4,9
129,scott67@example.net,1991-10-05,Male,Michaelmouth,2024-04-14,2025-04-14,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,High,4.6,6
130,ubrown@example.org,1953-09-28,Female,Lake Amystad,2024-01-05,2025-01-04,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Medium,4.4,3
131,gmoore@example.com,1972-02-04,Male,Lunahaven,2024-01-20,2025-01-19,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,High,3.1,10
132,kgreen@example.com,1969-08-15,Female,Port Deanland,2024-01-22,2025-01-21,Annual,Amex,Manual,Occasional,Electronics,Comedy,Medium,3.4,1
133,kelliolson@example.org,1947-08-17,Male,East Lawrenceburgh,2024-03-21,2025-03-21,Monthly,Mastercard,Manual,Occasional,Clothing,Action,Medium,4.9,3
134,gamblejulie@example.net,1986-02-23,Female,Nicholashaven,2024-01-05,2025-01-04,Monthly,Visa,Auto-renew,Frequent,Electronics,Horror,Medium,4.5,6
135,tbriggs@example.org,2004-06-18,Male,Nicholasburgh,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Books,Documentary,Medium,4.3,7
136,colelong@example.com,1964-01-01,Female,Adamfort,2024-04-08,2025-04-08,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,High,3.5,2
137,deanwiley@example.org,1954-03-08,Male,Brianview,2024-04-11,2025-04-11,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Low,3.5,4
138,zlee@example.net,1958-12-03,Female,South Dave,2024-03-24,2025-03-24,Annual,Amex,Manual,Occasional,Electronics,Documentary,Medium,3.0,4
139,grahammelissa@example.org,1991-05-06,Female,East Mary,2024-04-14,2025-04-14,Annual,Mastercard,Manual,Occasional,Electronics,Documentary,Medium,4.6,9
140,weaverrobert@example.com,1974-12-28,Male,Maryside,2024-02-13,2025-02-12,Annual,Mastercard,Manual,Frequent,Clothing,Drama,High,3.8,5
141,smatthews@example.com,2003-12-29,Male,Carlbury,2024-01-20,2025-01-19,Annual,Mastercard,Manual,Regular,Clothing,Action,Low,4.9,0
142,davidbell@example.org,1950-04-10,Female,East Jameschester,2024-04-05,2025-04-05,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,High,3.7,3
143,heatherpacheco@example.org,1938-03-29,Female,Myersburgh,2024-03-09,2025-03-09,Annual,Visa,Manual,Occasional,Books,Romance,Medium,4.6,1
144,castillosarah@example.net,1995-12-15,Male,Cunninghamchester,2024-02-20,2025-02-19,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Medium,4.5,7
145,tonypace@example.com,1947-05-08,Male,Jacksonburgh,2024-01-31,2025-01-30,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Medium,4.2,1
146,andreawalker@example.org,1981-03-25,Male,Collinschester,2024-02-22,2025-02-21,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Medium,4.4,0
147,alexreese@example.org,1992-08-13,Male,South Triciaburgh,2024-02-10,2025-02-09,Monthly,Amex,Auto-renew,Occasional,Electronics,Sci-Fi,Low,4.2,4
148,john96@example.net,1980-06-26,Male,West Jennifer,2024-03-27,2025-03-27,Monthly,Visa,Manual,Regular,Books,Horror,Low,4.3,0
149,kellicook@example.com,1971-11-12,Male,West Paulaport,2024-02-20,2025-02-19,Annual,Visa,Auto-renew,Frequent,Electronics,Documentary,Medium,4.2,8
150,dbell@example.org,1995-03-24,Female,Rodriguezshire,2024-04-02,2025-04-02,Annual,Amex,Manual,Occasional,Electronics,Horror,High,3.9,7
151,donaldstephenson@example.org,1988-11-29,Male,South Kristentown,2024-02-21,2025-02-20,Annual,Visa,Manual,Frequent,Books,Drama,High,4.8,5
152,valenzuelaadrienne@example.com,1985-01-26,Female,North Sherryshire,2024-01-22,2025-01-21,Annual,Visa,Manual,Frequent,Clothing,Documentary,High,3.3,9
153,ttapia@example.org,1990-08-09,Female,East Stevenfort,2024-03-31,2025-03-31,Monthly,Mastercard,Manual,Frequent,Books,Horror,High,3.7,9
154,odoyle@example.net,1948-06-24,Male,Robertbury,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Documentary,Medium,4.3,0
155,jamesbecker@example.com,2000-06-08,Male,North Misty,2024-03-19,2025-03-19,Monthly,Mastercard,Auto-renew,Regular,Books,Horror,High,4.6,5
156,justinsmith@example.org,1989-02-10,Male,Lake Phillip,2024-04-10,2025-04-10,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Medium,4.1,5
157,loritate@example.org,1977-08-18,Male,Calebstad,2024-03-19,2025-03-19,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,High,4.5,7
158,heidi61@example.net,1982-10-07,Male,Philipshire,2024-03-26,2025-03-26,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Documentary,Medium,4.4,9
159,christianlove@example.net,1973-09-15,Female,Port Anthony,2024-01-23,2025-01-22,Monthly,Mastercard,Auto-renew,Occasional,Books,Horror,High,4.8,2
160,emosley@example.com,1934-10-16,Female,East Johnland,2024-01-29,2025-01-28,Monthly,Visa,Auto-renew,Regular,Electronics,Sci-Fi,Medium,3.8,9
161,jareddavies@example.com,1992-11-30,Female,West Kennethchester,2024-02-29,2025-02-28,Monthly,Amex,Auto-renew,Regular,Clothing,Romance,Low,3.1,4
162,robertmcdaniel@example.com,1965-08-21,Male,South Scottview,2024-03-16,2025-03-16,Annual,Visa,Auto-renew,Occasional,Books,Romance,Medium,4.0,10
163,jorgelowe@example.com,1986-06-10,Male,Port Mariahton,2024-01-16,2025-01-15,Monthly,Visa,Auto-renew,Regular,Clothing,Comedy,Medium,3.4,0
164,adamsnicole@example.net,2001-10-18,Female,Mortonmouth,2024-03-04,2025-03-04,Monthly,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Low,3.8,1
165,jenniferwalker@example.com,1953-01-02,Male,Fowlerborough,2024-01-13,2025-01-12,Annual,Amex,Manual,Occasional,Electronics,Romance,Medium,3.3,7
166,juarezanthony@example.com,1983-01-27,Female,North Benjamin,2024-03-30,2025-03-30,Monthly,Visa,Manual,Frequent,Clothing,Comedy,Low,4.3,3
167,jbeasley@example.com,1941-01-15,Male,New Shannonmouth,2024-02-26,2025-02-25,Monthly,Mastercard,Manual,Frequent,Books,Comedy,Low,3.3,2
168,paullara@example.net,1976-05-22,Female,Port Tracyville,2024-01-08,2025-01-07,Annual,Visa,Manual,Frequent,Clothing,Comedy,Low,4.8,2
169,lindamoore@example.com,1969-10-22,Male,Lake Joshua,2024-04-09,2025-04-09,Annual,Amex,Manual,Occasional,Books,Sci-Fi,Low,3.9,1
170,kendragriffin@example.org,1976-12-11,Male,Andrewview,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Frequent,Books,Action,Medium,3.3,10
171,kimberly44@example.net,1944-05-08,Male,Gibsonburgh,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Romance,Medium,3.8,8
